Epoka,MSE
100,0.2503469672979698
200,0.2500073479760581
300,0.24974997303322413
400,0.2493266185318045
500,0.24804268703586618
600,0.24260383771349942
700,0.22336374028323425
800,0.17647796190805248
900,0.10396628002259892
1000,0.04936977546941079
1100,0.026483253320329078
1200,0.01672993547253024
1300,0.01181054257175964
1400,0.00896511749545718
1500,0.007149960521122433
1600,0.005907133143156171
1700,0.0050101239681962974
1800,0.004335971710877014
1900,0.003812881641785803
2000,0.0033964248926201595
2100,0.003057777003720556
2200,0.00277749223283004
2300,0.0025420147368873163
2400,0.002341627473262222
2500,0.0021691961367335047
2600,0.002019372484053394
2700,0.00188807337994111
2800,0.0017721309077317216
2900,0.001669051754733372
3000,0.0015768482300336872
3100,0.0014939173353994883
3200,0.0014189527462282916
3300,0.0013508797568566972
3400,0.0012888065241864434
3500,0.0012319870586199448
3600,0.001179792802538291
3700,0.001131690568407508
3800,0.0010872252432072833
3900,0.001046006104717
4000,0.0010076959029771517
4100,0.0009720020789554694
4200,0.0009386696497664616
4300,0.0009074754042427126
4400,0.0008782231368054886
4500,0.0008507397100681777
4600,0.0008248717834394788
4700,0.0008004830804030672
4800,0.0007774520941439184
4900,0.0007556701519292134
5000,0.0007350397747012102
5100,0.0007154732808462595
5200,0.0006968915929150947
5300,0.0006792232138135782
5400,0.0006624033451319526
5500,0.0006463731251908705
5600,0.0006310789683240708
5700,0.0006164719900985538
5800,0.0006025075057523089
5900,0.0005891445912308672
6000,0.0005763456979236875
6100,0.0005640763136143192
6200,0.0005523046633247969
6300,0.0005410014447005504
6400,0.0005301395933859076
6500,0.0005196940745105963
6600,0.0005096416969694953
6700,0.0004999609476497885
6800,0.0004906318431576383
6900,0.0004816357969330626
7000,0.0004729554999270819
7100,0.0004645748132582174
7200,0.00045647867147247264
7300,0.0004486529952082441
7400,0.0004410846122195521
7500,0.00043376118584174863
7600,0.00042667115009649897
7700,0.0004198036507300981
7800,0.00041314849156358444
7900,0.00040669608560619077
8000,0.00040043741044728577
8100,0.00039436396749751044
8200,0.0003884677446981392
8300,0.00038274118236011
8400,0.00037717714183145345
8500,0.0003717688767242329
8600,0.00036651000646113297
8700,0.0003613944919269113
8800,0.0003564166130324792
8900,0.00035157094801895576
9000,0.00034685235434683137
9100,0.00034225595103061306
9200,0.00033777710229343597
9300,0.00033341140242824376
9400,0.0003291546617631389
9500,0.0003250028936383455
9600,0.0003209523023109596
9700,0.0003169992717114228
9800,0.00031314035498277554
9900,0.0003093722647399991
10000,0.00030569186399238244
